"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Hourly Earnings excluding Irregular Earnings","2011Q4","Construction (F)","All employees","Euro","18.27"
"Average Hourly Earnings excluding Irregular Earnings","2011Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2011Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2011Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q1","Construction (F)","All employees","Euro","18.43"
"Average Hourly Earnings excluding Irregular Earnings","2012Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q2","Construction (F)","All employees","Euro","18.45"
"Average Hourly Earnings excluding Irregular Earnings","2012Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q3","Construction (F)","All employees","Euro","19.58"
"Average Hourly Earnings excluding Irregular Earnings","2012Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q4","Construction (F)","All employees","Euro","19.34"
"Average Hourly Earnings excluding Irregular Earnings","2012Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2012Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q1","Construction (F)","All employees","Euro","18.18"
"Average Hourly Earnings excluding Irregular Earnings","2013Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q2","Construction (F)","All employees","Euro","19.3"
"Average Hourly Earnings excluding Irregular Earnings","2013Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q3","Construction (F)","All employees","Euro","19.59"
"Average Hourly Earnings excluding Irregular Earnings","2013Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q4","Construction (F)","All employees","Euro","19.71"
"Average Hourly Earnings excluding Irregular Earnings","2013Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2013Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q1","Construction (F)","All employees","Euro","18.91"
"Average Hourly Earnings excluding Irregular Earnings","2014Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q2","Construction (F)","All employees","Euro","19.37"
"Average Hourly Earnings excluding Irregular Earnings","2014Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q3","Construction (F)","All employees","Euro","18.61"
"Average Hourly Earnings excluding Irregular Earnings","2014Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q4","Construction (F)","All employees","Euro","19.22"
"Average Hourly Earnings excluding Irregular Earnings","2014Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2014Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q1","Construction (F)","All employees","Euro","18.91"
"Average Hourly Earnings excluding Irregular Earnings","2015Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q2","Construction (F)","All employees","Euro","19.12"
"Average Hourly Earnings excluding Irregular Earnings","2015Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q3","Construction (F)","All employees","Euro","18.9"
"Average Hourly Earnings excluding Irregular Earnings","2015Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q4","Construction (F)","All employees","Euro","19.38"
"Average Hourly Earnings excluding Irregular Earnings","2015Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2015Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q1","Construction (F)","All employees","Euro","19.5"
"Average Hourly Earnings excluding Irregular Earnings","2016Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q2","Construction (F)","All employees","Euro","19.57"
"Average Hourly Earnings excluding Irregular Earnings","2016Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q3","Construction (F)","All employees","Euro","19.11"
"Average Hourly Earnings excluding Irregular Earnings","2016Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q4","Construction (F)","All employees","Euro","19.83"
"Average Hourly Earnings excluding Irregular Earnings","2016Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2016Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q1","Construction (F)","All employees","Euro","19.74"
"Average Hourly Earnings excluding Irregular Earnings","2017Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q2","Construction (F)","All employees","Euro","19.36"
"Average Hourly Earnings excluding Irregular Earnings","2017Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q3","Construction (F)","All employees","Euro","19.38"
"Average Hourly Earnings excluding Irregular Earnings","2017Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q4","Construction (F)","All employees","Euro","20.19"
"Average Hourly Earnings excluding Irregular Earnings","2017Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2017Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q1","Construction (F)","All employees","Euro","20.23"
"Average Hourly Earnings excluding Irregular Earnings","2018Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q2","Construction (F)","All employees","Euro","20.43"
"Average Hourly Earnings excluding Irregular Earnings","2018Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q3","Construction (F)","All employees","Euro","20.4"
"Average Hourly Earnings excluding Irregular Earnings","2018Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q4","Construction (F)","All employees","Euro","20.82"
"Average Hourly Earnings excluding Irregular Earnings","2018Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2018Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q1","Construction (F)","All employees","Euro","20.81"
"Average Hourly Earnings excluding Irregular Earnings","2019Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q2","Construction (F)","All employees","Euro","20.84"
"Average Hourly Earnings excluding Irregular Earnings","2019Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q3","Construction (F)","All employees","Euro","21.04"
"Average Hourly Earnings excluding Irregular Earnings","2019Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q4","Construction (F)","All employees","Euro","22.05"
"Average Hourly Earnings excluding Irregular Earnings","2019Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2019Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q1","Construction (F)","All employees","Euro","21.89"
"Average Hourly Earnings excluding Irregular Earnings","2020Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q2","Construction (F)","All employees","Euro","20.82"
"Average Hourly Earnings excluding Irregular Earnings","2020Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q3","Construction (F)","All employees","Euro","21.25"
"Average Hourly Earnings excluding Irregular Earnings","2020Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q4","Construction (F)","All employees","Euro","22.4"
"Average Hourly Earnings excluding Irregular Earnings","2020Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2020Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q1","Construction (F)","All employees","Euro","23.52"
"Average Hourly Earnings excluding Irregular Earnings","2021Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q2","Construction (F)","All employees","Euro","22.19"
"Average Hourly Earnings excluding Irregular Earnings","2021Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q3","Construction (F)","All employees","Euro","22.78"
"Average Hourly Earnings excluding Irregular Earnings","2021Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q4","Construction (F)","All employees","Euro","22.86"
"Average Hourly Earnings excluding Irregular Earnings","2021Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2021Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q1","Construction (F)","All employees","Euro","23.35"
"Average Hourly Earnings excluding Irregular Earnings","2022Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q2","Construction (F)","All employees","Euro","24.16"
"Average Hourly Earnings excluding Irregular Earnings","2022Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q3","Construction (F)","All employees","Euro","23.88"
"Average Hourly Earnings excluding Irregular Earnings","2022Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q4","Construction (F)","All employees","Euro","24.23"
"Average Hourly Earnings excluding Irregular Earnings","2022Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Hourly Earnings excluding Irregular Earnings","2022Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Paid Hours","2008Q1","Construction (F)","All employees","Hours","37.4"
"Average Weekly Paid Hours","2008Q1","Construction (F)","Managers, professionals and associated professionals","Hours","38.3"
"Average Weekly Paid Hours","2008Q1","Construction (F)","Clerical, sales and service employees","Hours","32.7"
"Average Weekly Paid Hours","2008Q1","Construction (F)","Production, transport, craft and other manual workers","Hours","37.9"
"Average Weekly Paid Hours","2008Q2","Construction (F)","All employees","Hours","37.6"
"Average Weekly Paid Hours","2008Q2","Construction (F)","Managers, professionals and associated professionals","Hours","38.1"
"Average Weekly Paid Hours","2008Q2","Construction (F)","Clerical, sales and service employees","Hours","32.7"
"Average Weekly Paid Hours","2008Q2","Construction (F)","Production, transport, craft and other manual workers","Hours","38.2"
"Average Weekly Paid Hours","2008Q3","Construction (F)","All employees","Hours","37.5"
"Average Weekly Paid Hours","2008Q3","Construction (F)","Managers, professionals and associated professionals","Hours","38"
"Average Weekly Paid Hours","2008Q3","Construction (F)","Clerical, sales and service employees","Hours","33"
"Average Weekly Paid Hours","2008Q3","Construction (F)","Production, transport, craft and other manual workers","Hours","38.1"
"Average Weekly Paid Hours","2008Q4","Construction (F)","All employees","Hours","37.3"
"Average Weekly Paid Hours","2008Q4","Construction (F)","Managers, professionals and associated professionals","Hours","37.9"
"Average Weekly Paid Hours","2008Q4","Construction (F)","Clerical, sales and service employees","Hours","32.7"
"Average Weekly Paid Hours","2008Q4","Construction (F)","Production, transport, craft and other manual workers","Hours","38"
"Average Weekly Paid Hours","2009Q1","Construction (F)","All employees","Hours","35.9"
"Average Weekly Paid Hours","2009Q1","Construction (F)","Managers, professionals and associated professionals","Hours","37.6"
"Average Weekly Paid Hours","2009Q1","Construction (F)","Clerical, sales and service employees","Hours","31.5"
"Average Weekly Paid Hours","2009Q1","Construction (F)","Production, transport, craft and other manual workers","Hours","36.3"
"Average Weekly Paid Hours","2009Q2","Construction (F)","All employees","Hours","35.5"
"Average Weekly Paid Hours","2009Q2","Construction (F)","Managers, professionals and associated professionals","Hours","37.7"
"Average Weekly Paid Hours","2009Q2","Construction (F)","Clerical, sales and service employees","Hours","31.8"
"Average Weekly Paid Hours","2009Q2","Construction (F)","Production, transport, craft and other manual workers","Hours","35.7"
"Average Weekly Paid Hours","2009Q3","Construction (F)","All employees","Hours","35.7"
"Average Weekly Paid Hours","2009Q3","Construction (F)","Managers, professionals and associated professionals","Hours","37.3"
"Average Weekly Paid Hours","2009Q3","Construction (F)","Clerical, sales and service employees","Hours","31.1"
"Average Weekly Paid Hours","2009Q3","Construction (F)","Production, transport, craft and other manual workers","Hours","36.3"
"Average Weekly Paid Hours","2009Q4","Construction (F)","All employees","Hours","35.7"
"Average Weekly Paid Hours","2009Q4","Construction (F)","Managers, professionals and associated professionals","Hours","37.1"
"Average Weekly Paid Hours","2009Q4","Construction (F)","Clerical, sales and service employees","Hours","30"
"Average Weekly Paid Hours","2009Q4","Construction (F)","Production, transport, craft and other manual workers","Hours","36.7"
"Average Weekly Paid Hours","2010Q1","Construction (F)","All employees","Hours","35.5"
"Average Weekly Paid Hours","2010Q1","Construction (F)","Managers, professionals and associated professionals","Hours","37.4"
"Average Weekly Paid Hours","2010Q1","Construction (F)","Clerical, sales and service employees","Hours","29.3"
"Average Weekly Paid Hours","2010Q1","Construction (F)","Production, transport, craft and other manual workers","Hours","36.6"
"Average Weekly Paid Hours","2010Q2","Construction (F)","All employees","Hours","34.5"
"Average Weekly Paid Hours","2010Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2010Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2010Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2010Q3","Construction (F)","All employees","Hours","34.6"
"Average Weekly Paid Hours","2010Q3","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2010Q3","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2010Q3","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2010Q4","Construction (F)","All employees","Hours","36.5"
"Average Weekly Paid Hours","2010Q4","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2010Q4","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2010Q4","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2011Q1","Construction (F)","All employees","Hours","35.1"
"Average Weekly Paid Hours","2011Q1","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2011Q1","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2011Q1","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2011Q2","Construction (F)","All employees","Hours","36"
"Average Weekly Paid Hours","2011Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2011Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2011Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2011Q3","Construction (F)","All employees","Hours","36.9"
"Average Weekly Paid Hours","2011Q3","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2011Q3","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2011Q3","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2011Q4","Construction (F)","All employees","Hours","35.7"
"Average Weekly Paid Hours","2011Q4","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2011Q4","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2011Q4","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2012Q1","Construction (F)","All employees","Hours","35.3"
"Average Weekly Paid Hours","2012Q1","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2012Q1","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2012Q1","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2012Q2","Construction (F)","All employees","Hours","35.1"
"Average Weekly Paid Hours","2012Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2012Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2012Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2012Q3","Construction (F)","All employees","Hours","34.9"
"Average Weekly Paid Hours","2012Q3","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2012Q3","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2012Q3","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2012Q4","Construction (F)","All employees","Hours","35.7"
"Average Weekly Paid Hours","2012Q4","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2012Q4","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2012Q4","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2013Q1","Construction (F)","All employees","Hours","34.9"
"Average Weekly Paid Hours","2013Q1","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2013Q1","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2013Q1","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2013Q2","Construction (F)","All employees","Hours","35.3"
"Average Weekly Paid Hours","2013Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2013Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2013Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2013Q3","Construction (F)","All employees","Hours","35.7"
"Average Weekly Paid Hours","2013Q3","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2013Q3","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2013Q3","Construction (F)","Production, transport, craft and other manual workers","Hours",""
